station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,gust_drct,gust_sknt,vis1_coeff,vis1_nd,vis2_coeff,vis2_nd,vis3_coeff,vis3_nd,ptype,precip,pres1,pres2,pres3
MAE,Madera,2023-01-01 08:00,50,44,14,273,280,14,0.05,N,M,M,M,M,NP,0.0,29.394,29.402,M
MAE,Madera,2023-01-01 09:00,49,45,9,280,265,13,0.552,N,M,M,M,M,R-,0.0,29.385,29.394,M
MAE,Madera,2023-01-01 10:00,49,46,15,295,292,19,0.075,N,M,M,M,M,R-,0.0,29.392,29.4,M
MAE,Madera,2023-01-01 11:00,49,47,11,301,298,14,0.551,N,M,M,M,M,P ,0.0,29.407,29.415,M
MAE,Madera,2023-01-01 12:00,49,46,14,324,328,17,0.071,N,M,M,M,M,P ,0.0,29.421,29.429,M
MAE,Madera,2023-01-01 13:00,49,47,11,308,304,16,0.064,N,M,M,M,M,P ,0.0,29.443,29.451,M
MAE,Madera,2023-01-01 14:00,49,46,10,301,293,12,0.05,N,M,M,M,M,NP,0.0,29.47,29.478,M
MAE,Madera,2023-01-01 15:00,49,44,10,311,315,12,0.05,N,M,M,M,M,NP,0.0,29.489,29.497,M
MAE,Madera,2023-01-01 16:00,48,42,9,318,317,12,0.05,D,M,M,M,M,NP,0.0,29.513,29.521,M
MAE,Madera,2023-01-01 17:00,50,41,9,309,304,14,0.05,D,M,M,M,M,NP,0.0,29.532,29.54,M
MAE,Madera,2023-01-01 18:00,51,41,14,333,334,16,0.05,D,M,M,M,M,NP,0.0,29.549,29.558,M
MAE,Madera,2023-01-01 19:00,52,41,12,329,330,15,0.05,D,M,M,M,M,NP,0.0,29.547,29.556,M
MAE,Madera,2023-01-01 20:00,54,42,14,329,340,18,0.05,D,M,M,M,M,NP,0.0,29.534,29.542,M
MAE,Madera,2023-01-01 21:00,56,43,11,329,338,11,0.05,D,M,M,M,M,NP,0.0,29.516,29.524,M
MAE,Madera,2023-01-01 22:00,57,42,10,323,319,15,0.05,D,M,M,M,M,NP,0.0,29.51,29.518,M
MAE,Madera,2023-01-01 23:00,56,40,13,329,329,14,0.05,D,M,M,M,M,NP,0.0,29.516,29.525,M
MAE,Madera,2023-01-02 00:00,56,40,9,338,339,9,0.05,D,M,M,M,M,NP,0.0,29.526,29.535,M
MAE,Madera,2023-01-02 01:00,51,41,1,352,353,2,0.05,D,M,M,M,M,NP,0.0,29.545,29.554,M
MAE,Madera,2023-01-02 02:00,50,39,4,286,282,5,0.05,N,M,M,M,M,NP,0.0,29.567,29.575,M
MAE,Madera,2023-01-02 03:00,49,39,7,284,283,9,0.05,N,M,M,M,M,NP,0.0,29.59,29.599,M
MAE,Madera,2023-01-02 04:00,48,37,6,286,283,6,0.05,N,M,M,M,M,NP,0.0,29.6,29.608,M
MAE,Madera,2023-01-02 05:00,45,36,5,272,274,7,0.05,N,M,M,M,M,NP,0.0,29.599,29.608,M
MAE,Madera,2023-01-02 06:00,43,36,6,275,277,6,0.05,N,M,M,M,M,NP,0.0,29.611,29.619,M
MAE,Madera,2023-01-02 07:00,40,35,5,276,277,5,0.05,N,M,M,M,M,NP,0.0,29.622,29.631,M
MAE,Madera,2023-01-02 08:00,40,35,3,87,87,4,0.05,N,M,M,M,M,NP,0.0,29.622,29.63,M
MAE,Madera,2023-01-02 09:00,38,35,1,186,235,1,0.069,N,M,M,M,M,NP,0.0,29.618,29.626,M
MAE,Madera,2023-01-02 10:00,38,35,1,120,197,1,0.05,N,M,M,M,M,NP,0.0,29.637,29.645,M
MAE,Madera,2023-01-02 11:00,40,36,5,16,12,6,0.05,N,M,M,M,M,NP,0.0,29.635,29.643,M
MAE,Madera,2023-01-02 12:00,39,36,4,47,47,4,0.066,N,M,M,M,M,NP,0.0,29.656,29.664,M
MAE,Madera,2023-01-02 13:00,38,36,1,97,100,1,0.116,N,M,M,M,M,NP,0.0,29.653,29.66,M
MAE,Madera,2023-01-02 14:00,40,38,4,90,98,4,0.287,N,M,M,M,M,NP,0.0,29.653,29.661,M
MAE,Madera,2023-01-02 15:00,38,36,3,166,162,3,0.434,N,M,M,M,M,NP,0.0,29.674,29.681,M
MAE,Madera,2023-01-02 16:00,38,36,3,144,137,3,0.094,D,M,M,M,M,NP,0.0,29.696,29.704,M
MAE,Madera,2023-01-02 17:00,42,37,6,85,86,7,0.059,D,M,M,M,M,NP,0.0,29.701,29.709,M
MAE,Madera,2023-01-02 18:00,44,40,5,129,129,6,0.078,D,M,M,M,M,NP,0.0,29.75,29.758,M
MAE,Madera,2023-01-02 19:00,47,40,11,126,132,12,0.055,D,M,M,M,M,NP,0.0,29.726,29.734,M
MAE,Madera,2023-01-02 20:00,48,39,11,124,127,13,0.05,D,M,M,M,M,NP,0.0,29.669,29.677,M
MAE,Madera,2023-01-02 21:00,49,38,10,134,124,11,0.05,D,M,M,M,M,NP,0.0,29.657,29.665,M
MAE,Madera,2023-01-02 22:00,49,39,10,123,122,12,0.05,D,M,M,M,M,NP,0.0,29.649,29.657,M
MAE,Madera,2023-01-02 23:00,49,38,14,115,110,16,0.116,D,M,M,M,M,R-,0.0,29.626,29.634,M
MAE,Madera,2023-01-03 00:00,47,41,8,134,136,9,0.463,D,M,M,M,M,R-,0.0,29.646,29.654,M
MAE,Madera,2023-01-03 01:00,46,41,12,145,144,14,0.411,N,M,M,M,M,R ,0.0,29.657,29.665,M
MAE,Madera,2023-01-03 02:00,46,41,10,104,105,11,0.291,N,M,M,M,M,R-,0.0,29.65,29.658,M
MAE,Madera,2023-01-03 03:00,46,42,10,108,107,12,0.136,N,M,M,M,M,?2,0.0,29.656,29.664,M
MAE,Madera,2023-01-03 04:00,46,42,12,118,126,14,0.071,N,M,M,M,M,NP,0.0,29.64,29.649,M
