dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
5997,2019-06-24 15:55:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.036,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.686,,,,0.503,,0.0,,,,122.046,122.846
3700,2019-06-24 15:59:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.837,122.618
3700,2019-06-24 15:58:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513,0.0,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.74,122.503
3700,2019-06-24 15:57:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.682,122.432
3700,2019-06-24 15:56:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.048,,,,,,,,,,,,,,,122.754,122.492
3700,2019-06-24 15:55:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.901,122.639
3700,2019-06-24 15:54:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.9,122.636
3700,2019-06-24 15:53:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.914,122.649
3700,2019-06-24 15:52:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.904,122.641
3700,2019-06-24 15:51:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.892,122.626
3700,2019-06-24 15:50:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.758,122.493
3700,2019-06-24 15:49:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.677,122.413
3700,2019-06-24 15:48:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.048,,,,,,,,,,,,,,,122.598,122.334
3700,2019-06-24 15:47:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.609,122.341
3700,2019-06-24 15:46:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.741,122.464
